customer_id,age,city,account_age_days,avg_transaction_amount,transactions_per_month
C1000,56,Ahmedabad,2158,1632.3,16
C1001,69,Pune,2210,4467.76,65
C1002,46,Kolkata,826,2604.1,45
C1003,32,Ahmedabad,2977,1296.05,37
C1004,60,Kolkata,167,2290.22,54
C1005,25,Pune,2261,995.91,72
C1006,38,Chennai,1383,1464.8,37
C1007,56,Pune,2862,5261.32,28
C1008,36,Kolkata,1905,1235.94,65
C1009,40,Bengaluru,98,2090.38,65
C1010,28,Hyderabad,2623,3882.24,32
C1011,28,Delhi,2130,3170.37,62
C1012,41,Ahmedabad,1503,1498.58,47
C1013,53,Bengaluru,234,2370.53,45
C1014,57,Pune,2203,1701.8,43
C1015,41,Chennai,72,2819.51,53
C1016,20,Mumbai,1936,3810.82,21
C1017,39,Pune,2188,1349.74,74
C1018,19,Chennai,790,8293.52,74
C1019,41,Hyderabad,2925,2098.61,69
C1020,61,Pune,2172,1858.86,9
C1021,47,Kolkata,2024,4894.08,6
C1022,55,Mumbai,1965,2087.18,26
C1023,19,Chennai,929,4378.75,61
C1024,38,Chennai,389,3172.68,70
C1025,50,Chennai,2977,2556.88,20
C1026,29,Hyderabad,1749,2309.14,55
C1027,39,Pune,310,1172.62,43
C1028,61,Hyderabad,1917,2773.9,44
C1029,42,Ahmedabad,696,2019.82,42
C1030,66,Delhi,122,2910.83,64
C1031,44,Delhi,701,1232.2,63
C1032,59,Ahmedabad,1999,1234.71,14
C1033,45,Pune,90,703.08,68
C1034,33,Kolkata,2711,1462.24,67
C1035,32,Hyderabad,1058,2275.3,53
C1036,64,Mumbai,1519,1987.45,68
C1037,68,Chennai,633,1599.68,36
C1038,61,Chennai,711,3375.55,11
C1039,69,Pune,2611,3994.36,25
C1040,20,Kolkata,1458,4534.97,24
C1041,54,Delhi,2915,3418.41,30
C1042,68,Delhi,2722,4680.95,72
C1043,24,Chennai,2310,4029.38,19
C1044,38,Pune,553,2515.8,18
C1045,26,Hyderabad,2423,1730.78,31
C1046,56,Delhi,2623,606.01,44
C1047,35,Hyderabad,1998,2021.16,62
C1048,21,Kolkata,1131,2126.89,32
C1049,42,Delhi,1783,2175.29,30
C1050,31,Delhi,1866,4684.7,67
C1051,67,Bengaluru,2871,282.69,70
C1052,26,Delhi,2326,3794.16,29
