merchant_id,merchant_name,merchant_category,city,risk_level
M500,Merchant_1,Jewelry,Pune,Low
M501,Merchant_2,Travel,Kolkata,Low
M502,Merchant_3,Gaming/Crypto,Kolkata,Medium
M503,Merchant_4,Fashion,Ahmedabad,Low
M504,Merchant_5,Gaming/Crypto,Delhi,Low
M505,Merchant_6,Dining,Ahmedabad,Medium
M506,Merchant_7,Jewelry,Chennai,Low
M507,Merchant_8,Travel,Pune,Low
M508,Merchant_9,Fashion,Chennai,Low
M509,Merchant_10,Grocery,Bengaluru,Medium
M510,Merchant_11,Utilities,Bengaluru,Low
M511,Merchant_12,Travel,Chennai,Low
M512,Merchant_13,Grocery,Delhi,Medium
M513,Merchant_14,Gaming/Crypto,Delhi,Low
M514,Merchant_15,Electronics,Ahmedabad,Low
M515,Merchant_16,Travel,Chennai,Low
M516,Merchant_17,Gaming/Crypto,Pune,Low
M517,Merchant_18,Grocery,Ahmedabad,Low
M518,Merchant_19,Dining,Hyderabad,Low
M519,Merchant_20,Dining,Delhi,Medium
M520,Merchant_21,Electronics,Mumbai,Low
M521,Merchant_22,Utilities,Ahmedabad,Low
M522,Merchant_23,Travel,Bengaluru,Low
M523,Merchant_24,Travel,Ahmedabad,Low
M524,Merchant_25,Travel,Chennai,Low
M525,Merchant_26,Utilities,Mumbai,Medium
M526,Merchant_27,Gaming/Crypto,Chennai,Low
M527,Merchant_28,Jewelry,Kolkata,Medium
M528,Merchant_29,Jewelry,Bengaluru,Medium
M529,Merchant_30,Electronics,Bengaluru,Low
M530,Merchant_31,Travel,Delhi,Medium
M531,Merchant_32,Gaming/Crypto,Ahmedabad,Low
M532,Merchant_33,Dining,Delhi,Low
M533,Merchant_34,Grocery,Mumbai,Low
M534,Merchant_35,Gaming/Crypto,Ahmedabad,Low
M535,Merchant_36,Utilities,Kolkata,Low
M536,Merchant_37,Jewelry,Chennai,Low
M537,Merchant_38,Jewelry,Kolkata,Low
M538,Merchant_39,Dining,Bengaluru,Low
M539,Merchant_40,Dining,Mumbai,Low
M540,Merchant_41,Utilities,Hyderabad,High
M541,Merchant_42,Grocery,Mumbai,Medium
M542,Merchant_43,Dining,Pune,Low
M543,Merchant_44,Electronics,Mumbai,Low
M544,Merchant_45,Grocery,Kolkata,Medium
M545,Merchant_46,Dining,Pune,Medium
M546,Merchant_47,Fashion,Pune,Medium
M547,Merchant_48,Gaming/Crypto,Ahmedabad,Low
M548,Merchant_49,Dining,Ahmedabad,Low
M549,Merchant_50,Electronics,Pune,Low
M550,Merchant_51,Travel,Hyderabad,Low
M551,Merchant_52,Dining,Ahmedabad,Medium
M552,Merchant_53,Jewelry,Mumbai,Medium
M553,Merchant_54,Jewelry,Kolkata,Low
M554,Merchant_55,Jewelry,Mumbai,Medium
M555,Merchant_56,Travel,Hyderabad,Low
M556,Merchant_57,Jewelry,Bengaluru,Low
M557,Merchant_58,Fashion,Delhi,Low
M558,Merchant_59,Dining,Kolkata,High
M559,Merchant_60,Utilities,Ahmedabad,Low
M560,Merchant_61,Jewelry,Kolkata,High
M561,Merchant_62,Grocery,Mumbai,Medium
M562,Merchant_63,Utilities,Delhi,Low
M563,Merchant_64,Travel,Chennai,Low
M564,Merchant_65,Fashion,Chennai,Medium
M565,Merchant_66,Grocery,Ahmedabad,Low
M566,Merchant_67,Grocery,Hyderabad,High
M567,Merchant_68,Grocery,Chennai,High
M568,Merchant_69,Grocery,Kolkata,Low
M569,Merchant_70,Utilities,Chennai,Low
M570,Merchant_71,Utilities,Bengaluru,High
M571,Merchant_72,Dining,Bengaluru,Low
M572,Merchant_73,Jewelry,Ahmedabad,Low
M573,Merchant_74,Gaming/Crypto,Bengaluru,Low
M574,Merchant_75,Dining,Chennai,Low
M575,Merchant_76,Dining,Hyderabad,High
M576,Merchant_77,Fashion,Pune,Medium
M577,Merchant_78,Fashion,Pune,Low
M578,Merchant_79,Jewelry,Ahmedabad,Low
M579,Merchant_80,Gaming/Crypto,Delhi,Low
