transaction_id,customer_id,merchant_id,amount,transaction_hour,transaction_day,payment_method,location,device_type
TXN100000,C1234,M575,1824.4,23,25,Credit Card,Bengaluru,Web
TXN100001,C1012,M508,1107.18,18,17,UPI,Ahmedabad,Web
TXN100002,C1100,M535,4139.99,10,12,UPI,Pune,iOS
TXN100003,C1416,M537,475.69,11,1,Debit Card,Chennai,iOS
TXN100004,C1023,M532,4294.34,11,24,Net Banking,Chennai,Android
TXN100005,C1363,M541,5010.81,23,23,Debit Card,Mumbai,iOS
TXN100006,C1010,M560,4919.17,11,7,Credit Card,Hyderabad,iOS
TXN100007,C1272,M545,1942.51,14,14,Credit Card,Pune,Android
TXN100008,C1451,M560,1228.15,17,9,Debit Card,Bengaluru,POS Terminal
TXN100009,C1430,M517,605.14,15,12,UPI,Chennai,Android
TXN100010,C1280,M569,2556.65,7,21,Debit Card,Chennai,Android
TXN100011,C1093,M579,1735.82,17,8,Debit Card,Chennai,Android
TXN100012,C1200,M514,2949.82,15,7,UPI,Kolkata,Web
TXN100013,C1020,M547,2336.25,14,14,Net Banking,Pune,iOS
TXN100014,C1339,M571,3124.68,18,2,Net Banking,Hyderabad,POS Terminal
TXN100015,C1466,M512,36871.84,2,2,Net Banking,Mumbai,Web
TXN100016,C1210,M542,4831.91,13,29,Debit Card,Delhi,iOS
TXN100017,C1139,M559,770.36,16,20,Debit Card,Ahmedabad,Web
TXN100018,C1292,M556,3303.69,14,17,UPI,Hyderabad,Web
TXN100019,C1297,M570,3690.49,17,10,Net Banking,Ahmedabad,iOS
TXN100020,C1400,M516,1276.75,11,21,UPI,Pune,POS Terminal
TXN100021,C1100,M549,3276.58,19,5,Credit Card,Mumbai,Web
TXN100022,C1303,M531,1935.56,13,1,Credit Card,Hyderabad,Android
TXN100023,C1358,M521,3467.06,16,5,Debit Card,Hyderabad,Web
TXN100024,C1027,M554,1264.85,17,4,Credit Card,Pune,Web
TXN100025,C1040,M556,5581.91,16,12,UPI,Kolkata,iOS
TXN100026,C1354,M512,2810.69,8,14,UPI,Mumbai,Web
TXN100027,C1302,M546,4630.75,16,26,Credit Card,Bengaluru,POS Terminal
TXN100028,C1495,M561,2952.77,14,11,UPI,Kolkata,Web
TXN100029,C1145,M553,2776.75,9,21,UPI,Hyderabad,Web
TXN100030,C1255,M528,552.06,16,4,Debit Card,Kolkata,Web
TXN100031,C1461,M521,2255.09,13,25,UPI,Bengaluru,Web
TXN100032,C1226,M564,6363.61,10,9,Debit Card,Delhi,iOS
TXN100033,C1235,M528,2934.98,6,3,UPI,Ahmedabad,Android
TXN100034,C1360,M547,1487.86,9,3,Debit Card,Hyderabad,Android
TXN100035,C1379,M504,2250.34,20,3,Credit Card,Bengaluru,iOS
TXN100036,C1454,M534,1642.14,9,7,Debit Card,Hyderabad,Web
TXN100037,C1488,M573,4682.71,14,1,UPI,Kolkata,Web
TXN100038,C1012,M570,1316.08,15,13,Net Banking,Bengaluru,iOS
TXN100039,C1209,M545,5583.6,13,4,Net Banking,Bengaluru,Android
TXN100040,C1228,M534,513.4,15,25,Debit Card,Delhi,POS Terminal
TXN100041,C1396,M544,4059.03,10,12,Debit Card,Chennai,Web
TXN100042,C1099,M512,3004.16,15,8,Debit Card,Kolkata,iOS
TXN100043,C1030,M509,3861.01,11,19,Credit Card,Delhi,Web
TXN100044,C1385,M565,3855.45,12,24,UPI,Chennai,Android
TXN100045,C1015,M569,2454.97,12,6,Debit Card,Chennai,Web
TXN100046,C1136,M571,1575.22,13,10,Net Banking,Delhi,Android
TXN100047,C1328,M524,1239.97,17,13,Credit Card,Ahmedabad,POS Terminal
TXN100048,C1165,M543,668.58,12,30,Net Banking,Hyderabad,POS Terminal
TXN100049,C1458,M559,2201.81,15,27,Debit Card,Pune,Web
TXN100050,C1309,M546,6039.46,14,3,Debit Card,Mumbai,iOS
TXN100051,C1439,M539,1506.63,18,28,UPI,Ahmedabad,Android
TXN100052,C1469,M506,4310.37,13,9,Credit Card,Mumbai,Web
TXN100053,C1480,M545,2473.16,16,10,Debit Card,Chennai,Android
TXN100054,C1099,M522,2850.55,19,13,UPI,Kolkata,iOS
TXN100055,C1108,M545,1335.0,12,16,Debit Card,Delhi,Web
TXN100056,C1342,M512,84744.2,5,23,Net Banking,Kolkata,iOS
TXN100057,C1172,M520,2047.92,14,8,UPI,Kolkata,Android
TXN100058,C1236,M500,3206.04,21,26,Credit Card,Ahmedabad,Web
TXN100059,C1161,M518,5643.68,13,11,Net Banking,Pune,iOS
TXN100060,C1392,M559,627.46,17,2,Net Banking,Pune,POS Terminal
TXN100061,C1215,M532,3189.63,13,29,Credit Card,Delhi,Android
TXN100062,C1263,M503,2569.42,14,19,Credit Card,Pune,Web
TXN100063,C1262,M502,3952.18,12,29,Net Banking,Bengaluru,POS Terminal
TXN100064,C1291,M551,1931.01,17,23,Debit Card,Delhi,iOS
TXN100065,C1273,M527,3798.42,23,2,Credit Card,Pune,POS Terminal
TXN100066,C1002,M569,2959.67,15,6,Credit Card,Bengaluru,Android
TXN100067,C1027,M569,1241.83,16,16,UPI,Pune,Web
TXN100068,C1325,M554,4125.59,11,16,Credit Card,Bengaluru,POS Terminal
TXN100069,C1491,M556,5471.67,19,7,UPI,Mumbai,iOS
TXN100070,C1427,M515,2892.14,19,11,Credit Card,Pune,POS Terminal
TXN100071,C1148,M523,3694.0,12,27,Debit Card,Pune,Web
TXN100072,C1027,M568,1506.1,7,16,Debit Card,Bengaluru,POS Terminal
TXN100073,C1487,M540,1889.62,18,6,Credit Card,Bengaluru,Web
TXN100074,C1309,M576,4524.6,14,5,UPI,Mumbai,iOS
TXN100075,C1437,M546,2888.5,21,9,Debit Card,Mumbai,Web
TXN100076,C1064,M575,1095.03,20,3,Debit Card,Mumbai,iOS
TXN100077,C1355,M568,2645.77,9,21,Net Banking,Mumbai,POS Terminal
TXN100078,C1020,M530,2419.95,16,29,Net Banking,Pune,Web
TXN100079,C1251,M529,4921.62,17,21,Debit Card,Bengaluru,Android
TXN100080,C1234,M517,1414.07,14,8,Net Banking,Bengaluru,iOS
TXN100081,C1226,M543,5077.9,12,8,UPI,Mumbai,POS Terminal
TXN100082,C1012,M526,1481.26,15,17,Credit Card,Ahmedabad,POS Terminal
TXN100083,C1312,M525,1406.63,16,30,Debit Card,Mumbai,iOS
TXN100084,C1048,M559,1666.73,22,6,Debit Card,Kolkata,Android
TXN100085,C1117,M517,1779.48,13,12,Net Banking,Bengaluru,iOS
TXN100086,C1053,M555,634.82,15,6,Debit Card,Ahmedabad,Web
TXN100087,C1137,M530,893.65,16,15,Debit Card,Mumbai,POS Terminal
TXN100088,C1052,M558,3207.86,13,11,Debit Card,Delhi,iOS
TXN100089,C1043,M501,3236.87,15,10,Debit Card,Chennai,Web
TXN100090,C1302,M538,3403.45,22,29,Credit Card,Bengaluru,POS Terminal
TXN100091,C1052,M560,4514.86,19,2,Net Banking,Delhi,POS Terminal
TXN100092,C1073,M562,1466.85,23,21,Net Banking,Bengaluru,Web
TXN100093,C1045,M517,1703.1,15,29,Debit Card,Hyderabad,iOS
TXN100094,C1012,M516,1449.9,15,6,Debit Card,Ahmedabad,iOS
TXN100095,C1164,M538,3390.03,16,19,Debit Card,Mumbai,POS Terminal
TXN100096,C1101,M570,2343.22,18,17,Credit Card,Delhi,iOS
TXN100097,C1279,M553,3844.58,12,9,UPI,Hyderabad,Android
TXN100098,C1257,M575,2555.23,14,2,UPI,Delhi,iOS
TXN100099,C1469,M534,3556.79,14,4,Debit Card,Pune,iOS
TXN100100,C1336,M510,2658.49,15,25,Credit Card,Ahmedabad,POS Terminal
TXN100101,C1355,M560,2164.03,16,9,Credit Card,Mumbai,POS Terminal
TXN100102,C1397,M543,4332.18,12,8,Net Banking,Bengaluru,Web
TXN100103,C1137,M567,1078.75,19,30,UPI,Mumbai,POS Terminal
TXN100104,C1162,M524,42869.57,3,4,UPI,Delhi,iOS
TXN100105,C1408,M547,4938.88,13,1,Credit Card,Ahmedabad,Android
TXN100106,C1386,M531,2305.37,12,11,Debit Card,Mumbai,Web
TXN100107,C1110,M503,3669.98,16,11,Net Banking,Mumbai,POS Terminal
TXN100108,C1101,M537,3078.65,9,7,Credit Card,Chennai,Web
TXN100109,C1016,M562,4132.43,11,18,Net Banking,Mumbai,iOS
TXN100110,C1267,M546,3596.49,20,8,UPI,Chennai,Web
